region,timezone,language,lasttime,created_bill,package,hours_user,sum_vm,sum_length,is_paid
VN,7,vi,NULL,108,NULL,213,1,4194304,1
IT,1,it,1,1596,1x2080Ti,30,1,36573282304,0
ES,1,es,0,16,1x3090,56,1,1574451560,1
DE,1,de,419,259,cpuhub1,3,7,1.40898E+11,1
CA,-4,en,12,207,1x3090,79,6,1.24756E+11,1
VN,7,vi,10,331,cpuhub1,30,1,13989751121,1
US,-4,en,1,1788,23,17,1,1.24586E+11,1
GB,0,en,0,1372,cpuhub1,41,2,13236400748,1
US,-8,en,23,34,6x3090,182,2,1.68243E+11,1
VN,7,en,251,38476,1x3090,127,8,2.29097E+11,1
AU,11,en,0,34,18,6,1,11272373045,1
VN,7,vi,0,15,cpuhub1,360,1,32644268032,0
IN,5,en,0,1220,cpuhub1,13,2,51624542208,0
BR,-3,en,322,31,1x2080Ti,97,1,10120855552,0
SA,3,ar,1,146,1x3090,89,2,69293047808,0
VN,7,en,1,39,1x2080Ti,180,1,4194304,0
VN,7,en,0,1340,1x3090,102,1,25701646336,0
VN,7,en,9,133,16,4,3,1.71607E+11,1
US,-3,en,1,32,1x2080Ti,74,1,10261364736,0
US,-5,en,14,5948,1x3090,442,3,88851673657,1
CH,2,de,212,68,16,15,7,1.98625E+11,1
US,-7,en,136,17,18,207,1,69110595584,1
CZ,2,cs,190,151,18,50,1,19331321344,1
SA,3,en,185,17567,sliver,67,1,14713618432,0
MY,8,en,0,45,1x3090,2,1,5733613568,0
US,-5,en,0,42,1x3090,117,1,1.0191E+11,1
DE,1,de,163,115,1x3090,4,4,1.72916E+11,1
DE,1,de,0,14270,23,286,1,95487524864,1
IN,5,en,71,131,1x3090,69,4,1.06632E+11,1
DE,1,de,153,74713,golden,126,5,1.16572E+11,1
BR,-3,pt,1,310,1x3090,79,1,65488814080,0
IN,5,en,NULL,1014,6x3090,31,6,8.75531E+11,1
MA,1,fr,1,12,cpuhub1,300,1,24129830912,0
EC,-5,es,345,180,1x3090,67,1,68523393024,1
MY,8,en,2,11,1x3090,206,3,61501912291,1
BD,6,en,167,371,6x3090,23,1,11879149332,1
GR,3,el,0,47,6x2080ti,53,1,11104407345,1
SG,8,en,49,427,1x3090,207,1,57201010062,1
VN,7,vi,508,70,1x2080Ti,35,31,9.66235E+11,0
IT,1,en,120,10228,1x3090,115,1,29365370880,1
DE,2,en,75,758,1x3090,67,1,76889497532,1
VN,7,en,62,1394,1x3090,59,1,29180821504,0
UY,-3,en,4,153,1x3090,10,7,3.03621E+11,1
AT,2,de,69,133,1x3090,8,2,98963143806,1
VN,7,en,95,59,1x2080Ti,4,2,31252040988,1
IN,5,en,1,4296,1x3090,15,1,25383618939,1
IN,5,en,6,42931,1x3090,174,1,48789355307,1
CA,-4,en,15,45,16,208,2,1.61034E+11,1
GB,1,en,40,195,16,12,2,21537547133,1
PL,2,en,32,3162,18,32,2,58061793697,1
KR,9,ko,1,172,1x3090,910,2,62655583043,1
TR,3,en,160,13,sliver,34,1,4194304,0
GB,1,en,1,1331,cpuhub1,1440,1,31093151333,1
JP,9,ja,0,57,23,129,1,43668996096,1
US,9,en,38,697,1x3090,38,2,35545313565,1
VN,7,vi,0,706,1x3090,3,2,1.04885E+11,0
IN,5,en,196,113,1x3090,35,2,60022587392,0
PL,1,en,28,44824,1x3090,75,1,1.1802E+11,1
ID,7,id,13,68,cpuhub1,82,1,50906267648,0
TR,3,en,40,55,1x3090,378,1,4.25654E+11,1
US,-5,en,1,5117,1x3090,1524,1,1.96819E+11,1
FR,1,fr,15,111,1x3090,40,1,57920192512,0
IN,5,en,0,13,1x3090,30,2,98207531008,0
CA,-5,en,0,19,1x3090,5,2,68944920576,1
VN,7,vi,409,136,1x3090,498,4,3.61468E+11,1
VN,-7,vi,1,42,1x3090,108,2,1.16438E+11,0
CH,2,en,15,488,22,176,2,87633690624,1
KR,9,ko,237,151,6x3080,16,3,50787434833,1
GE,4,en,0,507,1x3090,34,1,25124929536,0
VN,7,vi,730,835,NULL,7,5,1.3638E+11,1
HK,8,en,1,29,6x2080ti,6,2,30668334987,1
VN,7,vi,0,465,golden,2,2,73714892800,1
BR,-3,pt,288,18,1x3090,63,1,34097515815,1
PH,8,en,1,36163,1x3090,22,1,8926527488,0
BO,7,es,577,5560,sliver,212,7,4.35797E+11,1
HU,2,hu,155,9963,6x3090,22,6,4.88599E+11,1
ES,2,en,1,1102,16,481,3,42657040245,1
US,-5,en,1,30,1x3090,81,1,8204118902,1
