region,timezone,language,lasttime,created_bill,package,hours_use,sum_length,is_paid
FR,2,fr,4,4.583333333,6x3090,1.55,38.19493617,1
IT,1,it,1,26.6,1x2080Ti,0.5,36.5732823,0
ES,1,es,0,0.266666667,1x3090,0.933333333,1.57445156,1
DE,1,de,419,4.316666667,cpuhub1,0.05,140.898,1
CA,-4,en,12,3.45,1x3090,1.316666667,124.756,1
VN,7,vi,10,5.516666667,cpuhub1,0.5,13.98975112,1
US,-4,en,1,29.8,23,0.283333333,124.586,1
GB,0,en,0,22.86666667,cpuhub1,0.683333333,13.23640075,1
US,-8,en,23,0.566666667,6x3090,3.033333333,168.243,1
VN,7,en,251,641.2666667,1x3090,2.116666667,229.097,1
AU,11,en,0,0.566666667,18,0.1,11.27237305,1
VN,7,vi,0,0.25,cpuhub1,6,32.64426803,0
IN,5,en,0,20.33333333,cpuhub1,0.216666667,51.62454221,0
BR,-3,en,322,0.516666667,1x2080Ti,1.616666667,10.12085555,0
SA,3,ar,1,2.433333333,1x3090,1.483333333,69.29304781,0
VN,7,en,1,0.65,1x2080Ti,3,0.004194304,0
VN,7,en,0,22.33333333,1x3090,1.7,25.70164634,0
VN,7,en,9,2.216666667,16,0.066666667,171.607,1
US,-3,en,1,0.533333333,1x2080Ti,1.233333333,10.26136474,0
US,-5,en,14,99.13333333,1x3090,7.366666667,88.85167366,1
CH,2,de,212,1.133333333,16,0.25,198.625,1
US,-7,en,136,0.283333333,18,3.45,69.11059558,1
CZ,2,cs,190,2.516666667,18,0.833333333,19.33132134,1
SA,3,en,185,292.7833333,sliver,1.116666667,14.71361843,0
MY,8,en,0,0.75,1x3090,0.033333333,5.733613568,0
US,-5,en,0,0.7,1x3090,1.95,101.91,1
DE,1,de,163,1.916666667,1x3090,0.066666667,172.916,1
DE,1,de,0,237.8333333,23,4.766666667,95.48752486,1
IN,5,en,71,2.183333333,1x3090,1.15,106.632,1
DE,1,de,153,1245.216667,golden,2.1,116.572,1
BR,-3,pt,1,5.166666667,1x3090,1.316666667,65.48881408,0
MA,1,fr,1,0.2,cpuhub1,5,24.12983091,0
EC,-5,es,345,3,1x3090,1.116666667,68.52339302,1
MY,8,en,2,0.183333333,1x3090,3.433333333,61.50191229,1
BD,6,en,167,6.183333333,6x3090,0.383333333,11.87914933,1
GR,3,el,0,0.783333333,6x2080ti,0.883333333,11.10440735,1
SG,8,en,49,7.116666667,1x3090,3.45,57.20101006,1
VN,7,vi,508,1.166666667,1x2080Ti,0.583333333,966.235,0
IT,1,en,120,170.4666667,1x3090,1.916666667,29.36537088,1
DE,2,en,75,12.63333333,1x3090,1.116666667,76.88949753,1
VN,7,en,62,23.23333333,1x3090,0.983333333,29.1808215,0
UY,-3,en,4,2.55,1x3090,0.166666667,303.621,1
AT,2,de,69,2.216666667,1x3090,0.133333333,98.96314381,1
VN,7,en,95,0.983333333,1x2080Ti,0.066666667,31.25204099,1
IN,5,en,1,71.6,1x3090,0.25,25.38361894,1
IN,5,en,6,715.5166667,1x3090,2.9,48.78935531,1
CA,-4,en,15,0.75,16,3.466666667,161.034,1
GB,1,en,40,3.25,16,0.2,21.53754713,1
PL,2,en,32,52.7,18,0.533333333,58.0617937,1
KR,9,ko,1,2.866666667,1x3090,15.16666667,62.65558304,1
TR,3,en,160,0.216666667,sliver,0.566666667,0.004194304,0
GB,1,en,1,22.18333333,cpuhub1,24,31.09315133,1
JP,9,ja,0,0.95,23,2.15,43.6689961,1
US,9,en,38,11.61666667,1x3090,0.633333333,35.54531357,1
VN,7,vi,0,11.76666667,1x3090,0.05,104.885,0
IN,5,en,196,1.883333333,1x3090,0.583333333,60.02258739,0
PL,1,en,28,747.0666667,1x3090,1.25,118.02,1
ID,7,id,13,1.133333333,cpuhub1,1.366666667,50.90626765,0
TR,3,en,40,0.916666667,1x3090,6.3,425.654,1
US,-5,en,1,85.28333333,1x3090,25.4,196.819,1
FR,1,fr,15,1.85,1x3090,0.666666667,57.92019251,0
IN,5,en,0,0.216666667,1x3090,0.5,98.20753101,0
CA,-5,en,0,0.316666667,1x3090,0.083333333,68.94492058,1
VN,7,vi,409,2.266666667,1x3090,8.3,361.468,1
VN,-7,vi,1,0.7,1x3090,1.8,116.438,0
CH,2,en,15,8.133333333,22,2.933333333,87.63369062,1
KR,9,ko,237,2.516666667,6x3080,0.266666667,50.78743483,1
GE,4,en,0,8.45,1x3090,0.566666667,25.12492954,0
HK,8,en,1,0.483333333,6x2080ti,0.1,30.66833499,1
VN,7,vi,0,7.75,golden,0.033333333,73.7148928,1
BR,-3,pt,288,0.3,1x3090,1.05,34.09751582,1
PH,8,en,1,602.7166667,1x3090,0.366666667,8.926527488,0
BO,7,es,577,92.66666667,sliver,3.533333333,435.797,1
HU,2,hu,155,166.05,6x3090,0.366666667,488.599,1
ES,2,en,1,18.36666667,16,8.016666667,42.65704025,1
US,-5,en,1,0.5,1x3090,1.35,8.204118902,1
